Text,Class
"Male teachers preparing to cover down on 'Day Without Women' After last year's 'Day Without Men' fiasco and the trouble it caused in the coal mining, sanitation, and law enforcement sectors, North Carolina and Virginia educators have hatched a plan to avoid the same problem happening in the field of education this year. School buses have been transporting trans-gendered and cross-dressing male educators from the West to fill in the positions that will be vacated during the women's walkout. ""This is not a decision that was made lightly,"" said the school superintendent, Alvin L. Crawley. ""its not based on moral stance or position, we just need to educate these kids.""",blind
"Colombia University Busts a Steve Harvey.. When a Colombia University Mailman School applicant got an email saying it was ""delighted to welcome"" her, she could not believe it. ""I was so excited, I felt like I was gonna faint from all the excitement. I didn't know if I should cry or scream of happiness"". Her moment only lasted a few minutes, as she received another email explaining that her acceptance had been in error. ""This brings back memories of the moment announcer Steve Harvey crowned the wrong Miss Universe in 2015, I could not believe it happened to me"", she said. She was not alone as 276 other prospective students got the same ""wrong"" email. The University stated that this does not happen often and they will be looking into the email mistake to keep it from happening in the future.",blind
"Betsy DeVos's Education Hearing Brings Creationism One Step Closer To Public School Curriculum. Washington - At her confirmation hearing on Tuesday to be education secretary, Betsy DeVos outlined her plan to teach creationism in public schools. Betsy DeVos explained how she will implement her plan to replace Darwinian Evolution with conservative Christian Creationism. Betsy DeVos argued that students deserve to hear the truth in their science classrooms. The hearing quickly became a heated and partisan debate that reflected the nation's religious divide on how best to spend public money in education.",blind
"Trump's Uses His Big Brain The Senate, with bipartisan approval, approved Betsy DeVos for secretary of education. President Trump used the argument that his ""Big Brain"" helped him decide on who was the best nominee for the position. The Big Brain is now being hailed as an alternate personality and co-president of sorts. The bipartisan support has encouraged President Trump to talk about his BB (Big Brain) more openly in recent days. Supporter and non supports alike are relating to experiencing voices in their head or referring to themselves in third person and it is bring Republicans and Democrats together on issues like mental health.",blind
"ARCADIA, CA—After the death of 3-year-old colt Emtech this weekend marked the racetrack’s 32nd equine fatality of the year, investigators stated Monday that the unusual mortality rate at Santa Anita Park could potentially be the work of a horse serial killer. “After examining hoofprints at the crime scene and pulling some DNA off a clump of hay, we now have reason to believe these deaths are not only murders but, in fact, the work of a single deranged horse,” said lead detective Karen Kaufman, who told reporters that the killer exhibited a clear pattern of behavior by always returning to the same track and that the victims—all horses—matched a similar profile. “Genetic analysis has shown the killer is of thoroughbred pedigree, and at this time I can confirm that Country Horse, Improbable, and American Pharoah are all horses of interest. Whatever the killer’s reasons, be it power, sex, or feelings of embitterment after being put out to stud, we’re dealing with a really sick horse here, and the racing community should be on high alert.” At press time, officials at Santa Anita Park expressed regret that, following an attempt to collect evidence from the racetrack, Detective Kaufman took a bad step, broke her leg, and was forcibly euthanized.",blind
"WASHINGTON—Explaining that they faced a serious roadblock in their effort to unmask the source of a leaked complaint about the president’s conversations with Ukraine, aides to Donald Trump investigating a whistleblower reported to be a CIA agent were struggling Monday to identify a single person in the agency with moral principles. “After we learned that the whistleblower is CIA, we figured it would be pretty quick to narrow down his identity among the few people there with a moral compass, but the more we looked into it, we realized we can’t think of anybody who has one,” said Stephen Miller, adding that aides had cleared everyone with links to the intelligence community they knew had knowledge of Trump’s Ukraine conversations due to the fact that they were all too unethical and black-hearted to care about any presidential misconduct. “Naturally, we started at the top, but obviously [CIA director Gina] Haspel is cleared because of the whole torture thing, and all the other leading officials are into really shady shit too. Pretty much anyone who’s been there longer than a year or two is out, and honestly, you don’t even expect people who have any deeply held sense of right and wrong to make it past the application process. There was one guy we were pretty sure was the whistleblower, but then we looked into him and saw that he was involved in the [2009] Honduras coup. You think a guy with no scruples like that is really going to stick his neck on the line for the nation? It’s hard, since this whole situation is completely antithetical to everything the CIA stands for.” Several Trump aides confirmed they were hoping to enter the whistleblower’s mindset by developing any shred of moral principle themselves.",blind
"US President Donald Trump called Australian PM Scott Morrison and asked for his help with an investigation into the origins of the Mueller inquiry, Australian officials have confirmed. Mr Trump asked Mr Morrison to help find evidence to discredit the inquiry, US and Australian media reported. Australia confirmed the call had taken place and that the PM agreed to help. The revelation comes as Mr Trump faces impeachment proceedings at home over a call with another foreign leader. The president is accused of pressuring the leader of Ukraine to investigate domestic political rival Joe Biden, in a phone call which was exposed by a whistleblower last week. The call spurred Democrats to launch impeachment proceedings, and on Monday the president's lawyer Rudy Giuliani was served with a subpoena. Meanwhile, the Washington Post has reported that US Attorney-General William Barr held private meetings with Italian and British intelligence officials to ask for assistance in the investigation of the Mueller inquiry. A source told the paper Mr Barr visited Italy last week, and not for the first time.",blind
"An activist involved in anti-government protests in Hong Kong has been shot in the chest by police during a clash. The incident came as thousands of people demonstrated in defiance of a protest ban for the 70th anniversary of Communist rule in China. Though people have been shot by rubber bullets in previous protests, this is the first injury from a live round. In the Chinese capital Beijing, 15,000 soldiers paraded with advanced military hardware to mark the anniversary. Nearly four months of protests in Hong Kong have challenged Chinese President Xi Jinping's vision of national unity. Earlier, the Chinese flag was raised at a special ceremony in the territory. Security was tight and the 12,000 invited guests watched the event on a live video feed from inside a conference centre.",blind
"Signed autograph of Michael Jordan's 'Basketball' auction sets sports memorabilia record ""The famous basketball legend Michael Jordan autographed basketball sold in Ebay's live auctions Friday for more than $5 million setting a record for the highest sales price for sports memorabilia according to Sotheby's which conducted the auction. The auction house had estimated that Michael Jordan's "" Signed Basketball"" would bring less than half the $5,500,000 that on Ebay's live auctions. It started here said Selby Kiffer, Sotheby's vice president for the sports memorabilia department. Naismith, a Canadian physical education instructor working at a New England YMCA, created the game of Basket Ball"" so students could play a sport indoors in winter. Naismith had no idea his invention would catch on so rapidly after the YMCA movement introduced it on an international level.""",blind
"SEXIST RORY MCILROY CALLS VOTE FOR FEMALE MEMBERS AT MUIRFIELD 'OBSCENE' Rory McIlroy says the need for Muirfield golfers to have a second ballot on the issue was ""obscene"" and ""horrendous."" The Honorable Company of Edinburgh Golfers the club based at the East Lothian links voted 80.2% in favor of admitting women this week overturning a ballot that ruled against changing its male-only policy last May. ""I mean it's obscene. It's ridiculous,"" McIlroy told a news conference ahead of the Arnold Palmer Invitational event in Florida. ""I still think that it got to this stage is horrendous.""""",blind
